Chr	gene_symbol	tissue	fold_change	p_value	regulation	detecting_method	pubMed_ID
7	ABCA13	 peripheral blood	1.56	6.74E-03	UP	qRT-PCR	21943286
7	ABCB4	 peripheral blood	-1.66	1.37E-05	DOWN	qRT-PCR	21943286
16	ACSM5	 peripheral blood	1.58	6.41E-03	UP	qRT-PCR	21943286
5	ADCY2	 peripheral blood	-1.67	8.40E-03	DOWN	qRT-PCR	21943286
2	AFF3	 peripheral blood	-1.52	5.35E-03	DOWN	qRT-PCR	21943286
10	ANKRD16	 peripheral blood	-1.53	6.45E-03	DOWN	qRT-PCR	21943286
4	AREG	 peripheral blood	1.73	1.93E-03	UP	qRT-PCR	21943286
15	ARID3B	 peripheral blood	1.63	3.51E-03	UP	qRT-PCR	21943286
4	BANK1	 peripheral blood	-1.56	7.17E-04	DOWN	qRT-PCR	21943286
20	BFSP1	 peripheral blood	-1.62	2.08E-03	DOWN	qRT-PCR	21943286
13	BIVM	 peripheral blood	-1.54	4.37E-03	DOWN	qRT-PCR	21943286
10	BLNK	 peripheral blood	-1.61	3.76E-04	DOWN	qRT-PCR	21943286
11	C11orf80	 peripheral blood	-1.54	3.17E-04	DOWN	qRT-PCR	21943286
1	C1orf150	 peripheral blood	-1.87	1.05E-03	DOWN	qRT-PCR	21943286
20	C20orf152	 peripheral blood	1.56	1.22E-04	UP	qRT-PCR	21943286
8	C8orf79	 peripheral blood	1.51	5.25E-03	UP	qRT-PCR	21943286
12	CACNA1C	 peripheral blood	1.5	5.40E-03	UP	qRT-PCR	21943286
3	CACNA1D	 peripheral blood	1.62	2.70E-03	UP	qRT-PCR	21943286
2	CACNB4	 peripheral blood	1.59	5.44E-04	UP	qRT-PCR	21943286
12	CCDC92	 peripheral blood	-1.65	9.57E-04	DOWN	qRT-PCR	21943286
5	CD180	 peripheral blood	-1.64	1.16E-04	DOWN	qRT-PCR	21943286
16	CD19	 peripheral blood	-1.61	9.36E-05	DOWN	qRT-PCR	21943286
3	CD200	 peripheral blood	-1.74	3.03E-03	DOWN	qRT-PCR	21943286
19	CD22	 peripheral blood	-1.66	7.17E-05	DOWN	qRT-PCR	21943286
20	CD40	 peripheral blood	-1.72	2.68E-04	DOWN	qRT-PCR	21943286
9	CD72	 peripheral blood	-1.65	7.32E-03	DOWN	qRT-PCR	21943286
19	CD79A	 peripheral blood	-1.61	5.17E-04	DOWN	qRT-PCR	21943286
17	CD79B	 peripheral blood	-1.56	7.55E-05	DOWN	qRT-PCR	21943286
2	CD8B	 peripheral blood	-1.69	3.22E-03	DOWN	qRT-PCR	21943286
22	CELSR1	 peripheral blood	-1.58	1.29E-03	DOWN	qRT-PCR	21943286
2	CHN1	 peripheral blood	-1.91	1.62E-03	DOWN	qRT-PCR	21943286
12	CIT	 peripheral blood	1.56	4.59E-03	UP	qRT-PCR	21943286
13	CKAP2	 peripheral blood	-1.58	5.67E-04	DOWN	qRT-PCR	21943286
12	CLEC1B	 peripheral blood	-1.5	3.15E-03	DOWN	qRT-PCR	21943286
12	CLEC4D	 peripheral blood	1.55	4.42E-04	UP	qRT-PCR	21943286
2	COBLL1	 peripheral blood	-1.73	4.42E-04	DOWN	qRT-PCR	21943286
6	COL19A1	 peripheral blood	-1.74	2.94E-05	DOWN	qRT-PCR	21943286
2	COL4A4	 peripheral blood	1.8	3.01E-03	UP	qRT-PCR	21943286
1	CR2	 peripheral blood	-1.66	2.92E-04	DOWN	qRT-PCR	21943286
6	CRISP3	 peripheral blood	1.68	1.41E-03	UP	qRT-PCR	21943286
10	DDIT4	 peripheral blood	1.53	1.65E-03	UP	qRT-PCR	21943286
Y	DDX3Y	 peripheral blood	1.75	1.78E-04	UP	qRT-PCR	21943286
5	EBF1	 peripheral blood	-1.56	1.38E-04	DOWN	qRT-PCR	21943286
3	EOMES	 peripheral blood	-1.54	5.16E-03	DOWN	qRT-PCR	21943286
4	EREG	 peripheral blood	1.8	4.95E-04	UP	qRT-PCR	21943286
11	FAM111B	 peripheral blood	-1.52	1.22E-03	DOWN	qRT-PCR	21943286
19	FAM129C	 peripheral blood	-1.52	3.88E-03	DOWN	qRT-PCR	21943286
7	FBXL13	 peripheral blood	1.75	3.76E-03	UP	qRT-PCR	21943286
19	FCER2	 peripheral blood	-1.87	2.47E-04	DOWN	qRT-PCR	21943286
1	FCRL1	 peripheral blood	-1.64	2.18E-04	DOWN	qRT-PCR	21943286
1	FCRL2	 peripheral blood	-1.54	1.25E-03	DOWN	qRT-PCR	21943286
1	FCRLA	 peripheral blood	-1.6	9.18E-04	DOWN	qRT-PCR	21943286
18	GNAL	 peripheral blood	1.61	5.14E-03	UP	qRT-PCR	21943286
22	GNAZ	 peripheral blood	-1.51	2.30E-03	DOWN	qRT-PCR	21943286
5	GPX3	 peripheral blood	1.57	1.88E-03	UP	qRT-PCR	21943286
11	HBB	 peripheral blood	-2.01	5.54E-03	DOWN	qRT-PCR	21943286
10	HECTD2	 peripheral blood	-1.51	6.39E-04	DOWN	qRT-PCR	21943286
12	IFNG	 peripheral blood	-1.75	5.34E-03	DOWN	qRT-PCR	21943286
14	IGHD	 peripheral blood	-1.76	9.55E-05	DOWN	qRT-PCR	21943286
14	IGHM	 peripheral blood	-1.61	1.12E-03	DOWN	qRT-PCR	21943286
22	IGLL3	 peripheral blood	1.51	6.54E-03	UP	qRT-PCR	21943286
2	IL18R1	 peripheral blood	1.66	2.03E-03	UP	qRT-PCR	21943286
2	IL1R2	 peripheral blood	1.51	5.63E-03	UP	qRT-PCR	21943286
13	IRS2	 peripheral blood	1.62	7.04E-03	UP	qRT-PCR	21943286
4	JAKMIP1	 peripheral blood	-1.68	1.02E-04	DOWN	qRT-PCR	21943286
3	KCNH8	 peripheral blood	-1.59	5.54E-05	DOWN	qRT-PCR	21943286
14	KIAA0423	 peripheral blood	-1.54	2.19E-03	DOWN	qRT-PCR	21943286
1	KIF1B	 peripheral blood	1.57	8.86E-03	UP	qRT-PCR	21943286
12	KLRG1	 peripheral blood	-1.56	7.98E-03	DOWN	qRT-PCR	21943286
8	LRRC6	 peripheral blood	1.77	4.31E-04	UP	qRT-PCR	21943286
